code,product_name,lang,image_path,image_language,reference_ingredients,declared_allergens,trace_allergens,evidence,negated_terms,annotator,annotation_date,notes,off_declared_allergens,off_trace_allergens
3272770004725,"9 Minis St Moret (17,8% MG)",fr,,,"Lait et crème pasteurisés (Origine: France), protéines du lait, sel.
Fabriqué dans un atelier utilisant des fruits à coque et du lait de chèvre.",milk,"milk, tree_nut",,,,,,milk,"milk, tree_nut"
3523230030793,beurre demi-sel,fr,,,"_Crème_ pasteurisée (origine France), sel ajouté 3% dont 2% de cristaux de sel marin de Noirmoutier, ferments lactiques (dont _lait_)",milk,,,,,,,milk,
5449000008046,Coca-Cola slim 25cl,en,,,"water, sugar, carbon dioxide, color (caramel E150d), phosphoric acid, caffeine, natural flavors",,tree_nut,,,,,,,tree_nut
6111252422169,Sting - Berry Blast,de,,,"Carbonated Water, Sugar, Acidity Regulators E330, E331, Flavour (Natural and Nature Identical Flavouring substances), Sequestrants E452, E385, Taurine, Caffeine (29 mg/100 ml), Preservatives E211, E202, Sweeteners E955, E950, Colour E129, Inositol, Vitamins Premix.",,,,,,,,,
3760091726650,Haïti Grand cru Cap haïtien 72% cacaoté et fruité,fr,,,"Pâte de cacao°* d'Haïti 66%, sucre de canneº*, beurre de cacao°*. Cacao: 72% minimum dans le chocolat",,"milk, sesame, tree_nut, wheat_gluten",,,,,,,"milk, sesame, tree_nut, wheat_gluten"
43832551036,7 Sprouted Whole Grains Garden Wraps Vibrant Beet,en,,,"Sprouted whole grains (wheat berries, quinoa, millet, oat groats, barley, rye berries, amaranth), water, whole wheat flour, wheat gluten, organic honey, beet juice, sunflower oil, oat fiber, cultured wheat flour, natural flavor, salt, molasses, yeast, cit",wheat_gluten,,,,,,,wheat_gluten,
6111242102552,Dessert gourmand choco,en,,,"lait entier, crème, sucre, épaississant: (amidon, carraghénane), caramel, arôme, colorant naturel. Matière grasse: 4%",milk,,,,,,,milk,
3254550006013,Crème sous pression à la vanille 250g,fr,,,"Crème de lait 91,5 % (origine du lait : UE), sucre 8%, arôme naturel de vanille (origine Madagascar), émulsifiant :  E471, stabilisant E407, gaz propulseur E942.",milk,,,,,,,milk,
855673004028,Salami,en,,,"Vension, berkshire pork meat, sea salt, nonfat dry milk, sugar in the raw, red wine, spices, dextrose, fresh garlic, black peppercorn, sodium erythorbate, lactic acid, live starter culture.",milk,,,,,,,milk,
3608580890898,Gourmand & Végétal Brassé Nature,fr,,,"Lait de coco allégé 89% (eau, extrait de noix de coco), amidon modifié, protéines de pois, citrates de calcium, sel, ferments.",,"soy, tree_nut",,,,,,,"soy, tree_nut"
3229820801087,Avoine sans sucres,fr,,,"Eau, avoine* 11%, huile de tournesol*, sel marin.",,,,,,,,,
6111245470023,Afia,fr,,,"Huile de Soja 95%, Huile de Maïs 5%, Provitamine A.",soy,,,,,,,soy,
3023470020016,Roudor,fr,,,"Farine de blé 52%, beurre 30%, sucre, œufs, sel, poudres à lever: carbonates d'ammonium et de sodium et acide citrique.","egg, milk, wheat_gluten","sesame, soy, tree_nut",,,,,,"egg, milk, wheat_gluten","sesame, soy, tree_nut"
3154230809890,jambon,fr,,,"Jambon frais de porc, Sel, Arômes naturels (présence naturelle de polyphénols), Bouillon (eau, gras et couenne de porc, os de porc, sel, extraits de carotte et d'oignon, épices et plantes aromatiques), Sucre, Chlorure de potassium, Antioxydant: Acide ascorbique, Vinaigre en poudre.",,,,,,,,,
8594038911138,perník s ovocnou náplní,en,,,"perník korpus [PŠENIČNÁ mouka, invertní cukr(cukr, kypřící látka hydrogenuhličitan sodný), pasterovaná VAJEČNÁ melanž (VEJCE, konzervant sorban draselný, regulátor kyselost kyselina citronová), kypřící látka hydrogenuhličitan amonný s protispékavou látkou uhličitanem hořečnatým, perníkové koření], poleva 20% [cukr, plně ztužený rostlinný tuk palmojádrový, rostlinné oleje palmové, sušená SYROVÁTKA, sušené odstředěné MLÉKO, rostlinný tuk (palmový, palmojádrový, shea olej), kakaový prášek se sníženým obsahem tuku, emulgátory (slunečnicový lecitin, SÓJOVÝ lecitin, polyglycerol polyricino), aroma vanilkový extrakt], ovocna náplň 14% [směs ovocných dření (jablko, švestka, červený biz), fruktózo-glukózový sirup, regulátor kyselosti kyselina citronová, želírující látka pektin, koncentrát z černé mrkve, voda, konzervant sorban draselný].",,,,,,,,,
6111126005221,JBEN CHERGUI,fr,,,"Crème fraîche, Fromage blanc, Protéines de lait, Eau, Amidon, Sel, Texturants (Agar - Gomme Xanthane), Arôme,",milk,,,,,,,milk,
3168930009078,Flocons d'avoine complète,fr,,,100% Flocons d'avoine.,,wheat_gluten,,,,,,,wheat_gluten
8715700112596,"Ketchup zéro sel ajouré, 70% moins de sucres",en,,,"tomatoes (200g per 100g of tomato ketchup), spirit vinegar, lemon juice concentrate, potassium chloride, acidifier (malic acid), citrus fibre, spice and herb extracts (contains  celery), sweetener (sucralose),",,,,,,,,,
3661344653573,Yaourt Crémeuh Café,fr,,,"Lait entier pasteurisé équitable (73,4%), sucre de canne'; équiltable (9,5%), crème'; équitable amidon* de mais, lait écrémé en poudre, cale'; lyophilise équitable (1,2%). ';Issu de l'agriculture biologique, Lait Origine France. Commerce équitable contrilé Fair For Life: 90.7% des ingrédients d'origine agricole. Café issu du commerce équitable certifié Fairtrade/Max Havelaar. 'poudre de lait origine France Meuglez-nous au 0 801 803 804 CERTI AGRIC FR 14.370.001 CE CRÊMEUH CAFE",milk,,,,,,,milk,
5411188119098,Natur mit Kokosnuss,de,,,"_Sojabasis_ (Wasser, geschälte _Sojabohnen_ (10,4%)], Kokosmilch (4,3%) (Kokosceme, Wasser), Zucker, Tricalciumcitrat, Säureregulatoren (Natriumcitrate, Citronensäure), Stabilisator (Pektine), natürliches Aroma, Meersalz, Antioxidationsmitel (stark tocopherol-tatige Extract, Fettsäureester der Ascorbinsäure), Vitamine (B12, D2), Joghurtkulturen (Str,thermophilus, L, bulgaricus).",soy,tree_nut,,,,,,soy,tree_nut
3608580065371,Pâte à tartiner noisettes et cacao,fr,,,"Sucre, NOISETTES 20%, huiles végétales (tournesol, colza), LAIT écrémé en poudre, cacao maigre en poudre 5,5%, beurre de cacao, émulsifiant : lécithine de tournesol, extrait de vanille.

Peut contenir d'autres fruits à coque.","milk, tree_nut",tree_nut,,,,,,"milk, tree_nut",tree_nut
42104964,Ciel 33cl,en,,,ماء مصفى (معالج ومنضح) وأملاح معدنية (ماغنسيوم),,tree_nut,,,,,,,tree_nut
3033491451652,"Le petit suisse gervais nature 9,5 % 60 g x 12",fr,,,"LAIT écrémé et crème pasteurisés (LAIT), ferments lactiques (LAIT), conservateur : sorbate de calcium (papier traité) ou E 203 (papier traité)",milk,,,,,,,milk,
16256866,1848 Chocolat en poudre,fr,,,"Cacao maigre en poudre (50%) (beurre de cacao (11%)), sucre, arôme.

Peut contenir lait et soja.",,"milk, soy",,,,,,,"milk, soy"
6111266962774,Leben,fr,,,"Lait frais partiellement écrémé, ferments lactiques sélectionnés dont Bifidobacterium.",milk,,,,,,,milk,
3770018078038,Rostlinná slanina,cs,,,"Rehydratovaná _SÓJOVÁ bílkovina_ 82%, slunečnicový olej, sůl, přírodní aromata a barviva: antokyan, lykopen, regulátor kyselosti: octan draselný.",soy,"egg, fish, milk, shellfish, wheat_gluten",,,,,,soy,"egg, fish, milk, shellfish, wheat_gluten"
3329770076471,Calin Extra,fr,,,"Lait écrémé partiellement déshydraté, lait écrémé, crème, concentre des minéraux du lait, ferments lactiques (lait), vitamine D,",milk,,,,,,,milk,
7311070032604,Krisprolls complets,fr,,,"Farine de blé complet 58%, Farine de blé, Sucre, Huiles végétales (Colza), Malt d'orge, Levure, Sel",wheat_gluten,,,,,,,wheat_gluten,
10510377,Kräuterbutter,de,,,"76% Butter, Wasser, 4,1% Zwiebein, 3,1% % Petersilie, 3,0% Schnittlauch, 1,2% Speisesalz,
Gewürze, 
Kaliumsorbat;
0,1 % Liebstöckel,
0,03% Sonnenblumenöl,
Zucker,
natürliches Aroma,
Säuerungsmittel: Citronensäure.",milk,,,,,,,milk,
3760021251184,SAINT ANTONIN Eau Minérale Naturelle Naturelle 1 L,fr,,,Eau Minérale Naturelle,,,,,,,,,
3184670001080,faisselle,fr,,,_Lait_ pasteurisé (origine : France),milk,,,,,,,milk,
6111246721995,fromage blanc nature,fr,,,"Lait de Vache pasteurisé, Crème fraiche pasteurisée ferments lactiques, Présure.",milk,,,,,,,milk,
3272770015523,FETA AOP GRECQUE,fr,,,"_Lait_ entiers de brebis pasteurisés (70% min), lait entier de chèvre pasteurisé (30% max) (Origine: Grèce), sel, ferments lactiques, coagulant microbien.",milk,,,,,,,milk,
6111246950845,,ar,,,"Lait entier, 30g/L de matière grasse, المكونات: حليب كامل الدسم، 30غ ل من المادة الدسمة,",,"milk, tree_nut",,,,,,,"milk, tree_nut"
5411188116592,Coconut,nl,,,"Water, kokosnootmelk (5,3%) (kokosroom, water), rijst (3,3%), tricalciumfosfaat, stabilisatoren (guarpitmeel, gellangom, xanthaangom), zeezout, aroma's, vitaminen (B12, D2).",,tree_nut,,,,,,,tree_nut
6111032006749,Danettz Chocolat,ar,,,"سكر، قشدة، مسحوق الحليب بدون قشدة، مختر(نشا)، كاكاو، ملون طبيعي(كراميل)، مثبت(فوسفاط البوتاسيوم), الشوكولاط,م,د 5%",milk,,,,,,,milk,
6111179003847,Nectar Orange,en,,,"Jus d'orange, Eau Purifiée, Sucre, acidifiant: Acide Citrique, antioxydant : Vitamine C, Arômes Orange. Teneur en fruits min. 50%,",,tree_nut,,,,,,,tree_nut
6111250012416,Le bon lait,fr,,,lait,milk,,,,,,,milk,
6111246954461,,ar,,,تخصص جبن بالقشدة المكونات : حليب كامل الدسم، قشدة (40%)، نشا، مثبتات (E1442 و E1450)، ملح، خمائر حليبية، مادة حافظة : سوريات البوتاسيوم يحفظ على الأكثر في 6 درجات تاريخ الإنتاج - تاريخ انتهاء الصلاحية - 30 يوما يستهلك إلى غاية : انظر جانب العلبة,milk,,,,,,,milk,
6111024002186,Wilor,fr,,,"*** AJR : apport journalier recommandé, d0méga 6 que notre organisme ne peut fabriquer, 100g",,tree_nut,,,,,,,tree_nut
3248340054063,Lait demi-écrémé UHT,fr,,,lait demi-écrémé stérilisé UHT,milk,,,,,,,milk,
64144040902,Pam grilling oil spray,fr,,,na,,,,,,,,,
6111251754247,Olla Crème de Cuisson Onctueuse,fr,,,"eau, sucre, sirop de glucose, amidon modifié de maïs, épaississants (E466, E415), stabilisants (E339, E452), correcteur d'acidité (E331), arôme, colorant (E160a)",,,,,,,,,
265324,Edamame Beans,en,,,Edamame Beans,soy,,,,,,,soy,
3273220541012,Fromage blanc au lait de brebis,fr,,,"Lait de brebis pasteurisé, ferments lactiques sélectionnés (_lait_)",milk,,,,,,,milk,
8718114734484,Maille Mayonnaise,en,,,"Huile de tournesol, jaune d'OEUF, eau, moutarde de Dijon , eau, graines de MOUTARDE, vinaigre d'alcool, sel, conservateur : E224 , vinaigre d'alcool, sel, sucre, acidifiant: acide lactique, épaississant gomme xanthane, poivre, antioxydants: E385 , romarin, colorants: luteine ,  extrait de paprika, épices",egg,,,,,,,egg,
3182180002542,Grilletine Sans sucres ajoutés Blé complet,fr,,,"Farine de BLÉ 58% - Céréales complètes 19% (farine de BLÉ complet 18%, farine de SEIGLE complète 1%) - Huile de tournesol - Fibre soluble de maïs - Son de BLÉ - Levure boulangère - GLUTEN de blé - Farine de sarrasin - Farine de BLÉ malté - Sel - Agent de traitement de la farine (acide ascorbique).",wheat_gluten,"egg, milk, sesame, soy, tree_nut",,,,,,wheat_gluten,"egg, milk, sesame, soy, tree_nut"
8423352861402,Bebida de Avena,es,,,"Agua, _avena _(15%).",,"soy, tree_nut",,,,,,,"soy, tree_nut"
6111126003821,Lait Frais 15 jours,fr,,,lait entier pasteurisé,milk,,,,,,,milk,
3228857002184,American sandwich nature,fr,,,"Farine de BLÉ 66,3%, eau, huile de colza, fibre de chicorée, arôme (contient alcool), sel, fibre de BLÉ, vinaigre, levure, farine de fèves, gluten de BLÉ, levure désactivée, extrait d'acérola. Peut contenir des traces d'OEUFS, SOJA, LAIT, FRUITS A COQUE et GRAINES DE SESAME.",wheat_gluten,"egg, milk, sesame, soy, tree_nut",,,,,,wheat_gluten,"egg, milk, sesame, soy, tree_nut"
6111250472708,Jben AKNAZ,fr,,,"Fromage frais, crème, eau, proteines laitières, sel. épaississants (E407, E410), conservateur, arôme.",milk,,,,,,,milk,
3033710003228,RICORÉ® aux céréales et à la chicorée solubles Boîte 250g,fr,,,"Orge (44%), Orge maltée (28%). Seigle (14%), Chicorée (14%).",wheat_gluten,,,,,,,wheat_gluten,
5055159503082,Mango chutney,en,,,"Sugar, Mango (40%), Sugar Cane Vinegar, Salt, Acidity Regulator (Acetic Acid), Spices, Garlic, Colour (Paprika Extract). Allergy Advice! May be produced in a factory that handles Nuts, Peanuts and Sesame.","peanut, sesame",,,,,,,"peanut, sesame",
42800473554,"Totino'S, Buffalo Ranch Ranch Blasted Buffalo Style Chicken Rolls",en,,,"Enriched Flour (Wheat Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Tomato Puree (Water. Tomato Paste), Cooked White Chicken Meat (White Chicken Meat, Water, Modified Corn Starch, Soy Protein Isolate, Salt, Sodium Phosphate), Water, Imitation Mozzarella Cheese (Water, Palm Oil, Rennet Casein, Soybean Oil, Cellulose Powder, Potato Starch, Vital Wheat Gluten, Sodium Aluminum Phosphate, Potassium Chloride, Salt, Citric Acid, Potassium Sorbate [Preservative], Sodium Phosphate, Sodium Citrate, Titanium Dioxide [Artificial Color], Maltodextrin, Magnesium Oxide, Zinc Oxide, Riboflavin, Vitamin A Palmitate, Vitamin B12), Buffalo Style Sauce (Distilled Vinegar, Aged Cayenne Red Peppers, Salt, Water, Canola Oil, Spice, Xanthan Gum, Natural Flavor, Garlic Powder), Canola Oil. Contains 2% Or Less Of: Modified Corn Starch, Buttermilk, Modified Whey, Rehydrated Pasteurized Process Nonfat Mozzarella Cheese (Water, Nonfat Milk, Cheese Cultures, Salt, Enzymes, Citric Acid, Vitamin A Palmitate, Vitamin B6, Sodium Aluminum Phosphate, Sodium Citrate, Sodium Phosphate), Salt, Maltodextrin, Garlic Powder, Sugar, Spices, Defatted Soy Flour, Onion Powder, Dried Blue Cheese (Milk, Cheese Cultures, Salt, Enzymes), Tomato Powder, Yeast Extract, Dried Vinegar, Methylcellulose, Corn Starch, Cultured Nonfat Milk, Dextrose, Natural Flavor, Lactic Acid, Color (Paprika Extract, Red 40 Lake, Tumeric Extract, Titanium Dioxide, Red 40, Blue 1, Yellow 5), Rehydrated Enzyme Modified Cheese (Water, Milk, Cheese Cultures, Salt, Enzymes), Tbhq (Preservative).","milk, soy, wheat_gluten",,,,,,,"milk, soy, wheat_gluten",
6111271800023,La Source العين,fr,,,"eau LA SOURCE est puisée à une profondeur unique au pied du Moyen Atlas ce qui lui confère une pureté totale. Sa minéralisation équilibrée, pauvre en sodium couvre 60% des apports journaliers en calcium et magnésium et en fait une eau idéale au bon fonctionnement de l'organisme التركيبة المعدنية ملغال COMPOSITION MOYENNE EN mg/t - Calcium Magnésium Nitrates Sodium Potassium Bicarbonates 37,8 49.2 0 14,3 13 358.5 الكالسيوم المغنيزيوم النترات الصوديوم البوتاسيوم البيكربونات البقايا الجافة 110 درجة 407 ملغ ال الرقم الهيدروجيني 7.5 Résidus secs à 110° C : 407 mg/l - pH:7,5 أجريت التحاليل بالمعهد الوطني للصحة Analyses effectuées par l'institut National d'Hygiène",,,,,,,,,
6111032009870,Raibi jamila,fr,,,"lait, sucre, poudre de lait, beurre, gras, édulcorants",milk,,,,,,,milk,
6111266963207,كيفير,ar,,,"Lait frais partiellement écrémé, ferments du kéfir et ferments du yaourt et bifidobacterium",milk,,,,,,,milk,
6111126001582,Lait fermenté,fr,,,"Lait demi écrémé, ferments lactiques",milk,,,,,,,milk,
6111259092495,Goldium crémeux,fr,,,"Fromage blanc, protéine de lait, crème fraîche, lait écrémé, ferment lactique, présure Halal, goût, huile végétale, conservateur",milk,,,,,,,milk,
3270190127765,Chocolate negro,es,,,"Pasta de cacao*, azúcar*, manteca de cacao*, emulgente: lecitinas* (girasol), extracto de vainilla*.",,"milk, tree_nut",,,,,,,"milk, tree_nut"
6111126001605,fawakih mangue 900ml,fr,,,"Eau, lait écrémé, sucre naturel, jus de fruits à base de concentrés (mangue), texturant : amidon, pectine de fruit, acidifiant : acide citrique",milk,,,,,,,milk,
3067140037898,Chicoree soluble nature bio 100g,fr,,,Chicorée Soluble,wheat_gluten,,,,,,,wheat_gluten,
3187570015447,Café moulu pur arabica des petits producteurs,fr,,,Café moulu pur Arabica,,,,,,,,,
5411188115533,soya Vanille,de,,,"SOJABASIS (Wasser, geschälte SOJABOHNEN (7,8%)), Zucker, Calciumcarbonat, Aromen, Meersalz, Säureregulator (Kaliumphosphate), Karottenextrakt, Stabilisator (Gellan), Vitamine (B2, B12, D2).Von Natur aus gluten - und laktosefrei.",soy,,,,,,,soy,
20283360,Fiocchi di avena integrali,it,,,Fiocchi d'avena,wheat_gluten,wheat_gluten,,,,,,wheat_gluten,wheat_gluten
3228021170046,Emmental râpé,fr,,,"LAIT de vache pasteurisé, sel, ferments lactiques, fécule de pomme de terre.",milk,,,,,,,milk,
90162602,Red Bull Energy Drink,en,,,"Water, Sucrose, Glucose, Acidifier (Citric Acid), Carbon Dioxide, Taurine (0.4%), Acidity Regulators (Sodium Bicarbonate, Magnesium Carbonate), Flavourings, Colours (Caramel, Riboflavin), Caffeine (0.03%), Vitamins (Niacin, Pantothenic Acid, B6, B12).",,,,,,,,,
8445290157348,Nesquik,pt,,,"Açúcar, cacau magro em pó (23%), emulsionante (lecitina de _soja_), sal, vitaminas (C, D), aroma natural e canela.",soy,,,,,,,soy,
6111032009412,Danone max red fruit,fr,,,"حليب بقري طازج, مسحوق الحليب منزوع الدسم, سكر, نكهة طبيعية, نكهة الفراولة, مثبتات, سترات الصوديوم, سترات البوتاسيوم, ملح, مستحلب, ليسيثين الصويا, لون طبيعي, عصير البنجر, فيتامين د",milk,,,,,,,milk,
3664346326872,Poulain Grand Arôme intense 70% de cacao,fr,,,"Cacao maigre (11 % de beurre de cacao) en poudre, sucre, arôme, Cacao:70 % minimum, Peut contenir lait et soja,",,"milk, soy",,,,,,,"milk, soy"
6111126005702,Chergui protéine vanille,fr,,,المكونات حليب بدون دسم، بروتين حليبي (الكازين)، بروتين لاكتوسيروم، مستحضر الفانيلا، النشاء بكتين الحمضيات، حمض الستريك، أنزيم اللاكتاز، محلي (سكرلون، خمائر حليبية .,milk,,,,,,,milk,
6111126005696,Proteines Mangue,fr,,,"Lait sans lactose, protéines de lait (Protein Catocerum), extrait de fruit de mangue, amidon, acide citrique, pectine locale (cicérone), enzyme de lactase, levure de lait.",milk,,,,,,,milk,
6111203001467,margarine la prairie 225g,fr,,,"Corps gras végétal, eau, sucre, sel, mono-diglycérides végétales, lécithine de soja, calcium, amidon, sorbate de potassium, antioxydant, acide citrique, arôme, β-carotène, 7 vitamines : A, B6, B2, B1, E, D et B12.",soy,,,,,,,soy,
8720174121128,Walnoten gepeld,nl,,,Walnoten.,tree_nut,,,,,,,tree_nut,
6111242102002,غلال القمح,fr,,,"Ingré&lents : lait entier enrichi en crème, sucre, poudre de lait écrémé, texturant : amidon, préparation de céréales, fibres, arômes, ferments ladiques et colorant naturel. Matière grasse : 3,4 % Poids net : 110 g",milk,milk,,,,,,milk,milk
7622210713889,Belvita Original Petit-Déjeuner miel et pépites de chocolat,fr,,,"Farine 49,6 % [BLE complet 20,3 %, BLE 20 %, ORGE complet 4,9 %, SEIGLE complet 3,4 %, épeautre complet (BLE) 1 %], sucre, huile de colza, flocons complets d'AVOINE 10,7%, pépites de chocolat 8,5 % [sucre, pâte de cacao, huiles végétales (palme et karité en proportion variable), dextrose, beurre de cacao, émulsifiant (lécithines de SOJA)], miel de fleurs 5 %, sirop de glucose-fructose, minéraux (carbonate de calcium, carbonate de magnésium, fer élémentaire), poudres à lever (diphosphates, carbonates de sodium, carbonates d'ammonium), sel, émulsifiants (lécithines de SOJA, E472e), LAIT écrémé en poudre, arômes. PEUT CONTENIR OEUF, FRUITS À COQUE, SESAME.","milk, soy, wheat_gluten","egg, sesame, tree_nut",,,,,,"milk, soy, wheat_gluten","egg, sesame, tree_nut"
78742121048,Buttermilk Jumbo Biscuits,en,,,"Enriched bleached flour (wheat flour, niacin, iron, thiamine mononitrate [vitamin b1], riboflavin [vitamin b2], folic acid), water, vegetable oil (palm, soybean and/or cottonseed oils), buttermilk, dextrose, sugar, leavening (sodium acid pyrophosphate, baking soda, sodium aluminium phosphate, aluminium sylfate). contains 2% or less of each of the following: modified wheat starch, salt, mono - and diglycerides, potassium chloride, natural and artificial flavor, xanthan gum, datem, potassium sorbate and tbhq (preservatives), sodium stearoyl lactylate, soy flour).","milk, soy, wheat_gluten",,,,,,,"milk, soy, wheat_gluten",
29161690,100% Almond Butter,en,,,almonds (100%),tree_nut,,,,,,,tree_nut,
5410093179616,Vegetal,en,,,زيوت نباتية (بذور اللفت، جوز الهند)، دهن نباتي (نخيل)، ماء، مستحلب: (471)، ملح (0.5%)، حليب مجفف منزوع الدسم، عامل الحفظ (E202)، حامض حمض الستريك، نكهة طبيعية، ملون كاروتينات، فيتامينات (فيتامين أ وفيتامين د). نسبة الدهون: 59%,milk,,,,,,,milk,
3228021170039,PRESIDENT CAMEMBERT 250g,fr,,,"LAIT (origine France), ferments lactiques et d'affinage, sel",milk,,,,,,,milk,
6111024001202,Huile de tournesol,fr,,,"Uhuale de tournesol content une guari *Uhe cuillerée à soupe dhule équaut a مق كبير من الزيت تعادل ما يقارب 0غ أو 90 كبلوكيالوري في على كمية مهمة من الأوميكا6 الأساسية ABRS UTNTONNELLES 100 Lipides i Acides gras saturés Acides gras monoinsaturés 27 IA Acdes gras polyinsaturés (e Oméga 6 e Fbres almentaires Viamine E mg Cholesterd Proteines g Guoides Sodum 100 11,3 613 liilia 61,15 0. الجسم إنتاجها۔ portated",,tree_nut,,,,,,,tree_nut
3362600011228,Sable coco Henry s 42g,fr,,,"Farine de _froment_, sucre, graisse végétale, noix de coco râpée, poudre de _lait_, poudre de _lactosérum_, sucre inverti, agents levants (bicarbonate d'ammonium - bicarbonate de Sodium), sel, arômes.","milk, wheat_gluten",soy,,,,,,"milk, wheat_gluten",soy
6111259347861,Pauz,fr,,,"Sucre, Farine de blé, Graisses végétales (palmiste, palme, tournesol), Poudre de lait de vache écrémé, Poudre de cacao, Poudre de lait de vache entier, Amidon de maïs, Emulsifiants d'origine végétale (lécithine de soja E322, Polyricinoléate de polyglycérol E476), Poudre levante (Bicarbonate de sodium E500ii), Sel et Arome (vanilline). Contient : Blé (céréales contenant du gluten), lait et soja; peut contenir des traces de fruits à coques et des arachides.","milk, soy, wheat_gluten","peanut, tree_nut",,,,,,"milk, soy, wheat_gluten","peanut, tree_nut"
8436547770137,Kéfir natural sabor suave,en,,,"milk, cream, skimmed milk powder and ferments",milk,,,,,,,milk,
4779028645758,Estrela grietinės ir svogūnų  180,en,,,"Bulvės, augaliniai aliejai (saulėgrąžų, rapsų įvairiomis dalimis), druska, svogūnų milteliai (1,3%), IŠRŪGŲ milteliai (iš PIENO), natūralios kvapiosios medžiagos, cukrus, PASUKŲ milteliai (iš PIENO), mielių ekstraktas, GRIETINĖLĖS milteliai (0,14%) (iš PIENO), prieskoninės žolelės, mielių milteliai, česnakų milteliai, rūgštis: citrinų rūgštis.",milk,,,,,,,milk,
3095758049019,Le Torchon - Cuit à l'Etouffée  - 25% de sel*,fr,,,"Jambon de porc, bouillons 1.8% (eau, échalote, carotte, _céleri_, oignon, poireau, ail, plantes aromatiques, épices, sel), sel, dextrose de maïs, épices, antioxydant : ascorbate de sodium, conservateur : nitrite de sodium.",,,,,,,,,
5010477365316,Oh my crisp ! - Noix,fr,,,"Flocons d'avoine complète, fibre de racine de chicorée, raisins de sultane, huile de colza et de tournesol, morceaux de noix de cajou, amandes entières, noisettes grillées, farines d'avoine, de riz, graines de tournesol, noix de coco séché, arôme naturel.",tree_nut,,,,,,,tree_nut,
3760091726667,Chocolat noir 80% Équateur intense et floral,fr,,,"pâte de cacao  70%, sucre de canne , beurre de cacao, Cacao : 80% minimum dans le chocolat,

° Issus de l'agriculture biologique (100%)
* Issus du commerce équitable (100% du poids total avec 89% SPP)",,"milk, sesame, tree_nut, wheat_gluten",,,,,,,"milk, sesame, tree_nut, wheat_gluten"
3451790988677,Le Beurre Tendre,en,,,"cream (origin france), milk fat , lactic ferments,",milk,,,,,,,milk,
